ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,90140,TEXTRANK.TXT,0.96088,1.00000,0.98005,1

ROUGE-2+StopWordRemoval,90140,TEXTRANK.TXT,0.95833,0.99745,0.97750,1

ROUGE-3+StopWordRemoval,90140,TEXTRANK.TXT,0.95577,0.99488,0.97494,1

ROUGE-1+StopWordRemoval,89715,TEXTRANK.TXT,0.65471,0.72277,0.68706,1

ROUGE-2+StopWordRemoval,89715,TEXTRANK.TXT,0.63063,0.69652,0.66194,1

ROUGE-3+StopWordRemoval,89715,TEXTRANK.TXT,0.62443,0.69000,0.65558,1

ROUGE-1+StopWordRemoval,90415,TEXTRANK.TXT,0.73541,1.00000,0.84753,1

ROUGE-2+StopWordRemoval,90415,TEXTRANK.TXT,0.73438,1.00000,0.84685,1

ROUGE-3+StopWordRemoval,90415,TEXTRANK.TXT,0.73333,1.00000,0.84615,1

ROUGE-1+StopWordRemoval,89953,TEXTRANK.TXT,0.25366,0.32911,0.28650,1

ROUGE-2+StopWordRemoval,89953,TEXTRANK.TXT,0.02941,0.03822,0.03324,1

ROUGE-3+StopWordRemoval,89953,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-1+StopWordRemoval,90139,TEXTRANK.TXT,0.63768,0.65254,0.64503,1

ROUGE-2+StopWordRemoval,90139,TEXTRANK.TXT,0.47510,0.48620,0.48059,1

ROUGE-3+StopWordRemoval,90139,TEXTRANK.TXT,0.44491,0.45532,0.45005,1

ROUGE-1+StopWordRemoval,7539,TEXTRANK.TXT,0.39901,0.45763,0.42632,1

ROUGE-2+StopWordRemoval,7539,TEXTRANK.TXT,0.17327,0.19886,0.18519,1

ROUGE-3+StopWordRemoval,7539,TEXTRANK.TXT,0.09950,0.11429,0.10638,1

ROUGE-1+StopWordRemoval,91628,TEXTRANK.TXT,0.59813,1.00000,0.74854,1

ROUGE-2+StopWordRemoval,91628,TEXTRANK.TXT,0.59624,1.00000,0.74706,1

ROUGE-3+StopWordRemoval,91628,TEXTRANK.TXT,0.59434,1.00000,0.74556,1

ROUGE-1+StopWordRemoval,91982,TEXTRANK.TXT,0.46218,0.50228,0.48140,1

ROUGE-2+StopWordRemoval,91982,TEXTRANK.TXT,0.31646,0.34404,0.32967,1

ROUGE-3+StopWordRemoval,91982,TEXTRANK.TXT,0.28390,0.30876,0.29581,1

ROUGE-1+StopWordRemoval,90772,TEXTRANK.TXT,0.92683,0.99625,0.96029,1

ROUGE-2+StopWordRemoval,90772,TEXTRANK.TXT,0.91958,0.98872,0.95290,1

ROUGE-3+StopWordRemoval,90772,TEXTRANK.TXT,0.91228,0.98113,0.94545,1

ROUGE-1+StopWordRemoval,91105,TEXTRANK.TXT,0.92958,1.00000,0.96350,1

ROUGE-2+StopWordRemoval,91105,TEXTRANK.TXT,0.92453,0.99492,0.95844,1

ROUGE-3+StopWordRemoval,91105,TEXTRANK.TXT,0.91943,0.98980,0.95332,1

ROUGE-1+StopWordRemoval,90895,TEXTRANK.TXT,0.51185,0.61364,0.55814,1

ROUGE-2+StopWordRemoval,90895,TEXTRANK.TXT,0.42857,0.51429,0.46753,1

ROUGE-3+StopWordRemoval,90895,TEXTRANK.TXT,0.39713,0.47701,0.43342,1

ROUGE-1+StopWordRemoval,99900,TEXTRANK.TXT,0.76074,0.82667,0.79233,1

ROUGE-2+StopWordRemoval,99900,TEXTRANK.TXT,0.73846,0.80268,0.76923,1

ROUGE-3+StopWordRemoval,99900,TEXTRANK.TXT,0.72840,0.79195,0.75884,1

ROUGE-1+StopWordRemoval,91104,TEXTRANK.TXT,0.47826,0.58580,0.52660,1

ROUGE-2+StopWordRemoval,91104,TEXTRANK.TXT,0.35437,0.43452,0.39037,1

ROUGE-3+StopWordRemoval,91104,TEXTRANK.TXT,0.31707,0.38922,0.34946,1

ROUGE-1+StopWordRemoval,91742,TEXTRANK.TXT,0.93403,0.96478,0.94915,1

ROUGE-2+StopWordRemoval,91742,TEXTRANK.TXT,0.93027,0.96092,0.94534,1

ROUGE-3+StopWordRemoval,91742,TEXTRANK.TXT,0.92799,0.95859,0.94304,1

ROUGE-1+StopWordRemoval,183,TEXTRANK.TXT,0.49794,0.67222,0.57210,1

ROUGE-2+StopWordRemoval,183,TEXTRANK.TXT,0.31405,0.42458,0.36105,1

ROUGE-3+StopWordRemoval,183,TEXTRANK.TXT,0.20332,0.27528,0.23389,1

